Quentin Béthune
Pieter Scholtz
Alexander Moon
Lucas Paulos
Veikoso Poloniati
Manex Ariceta
Robin Dioné
Giovanni Habel-Kuffner
Baptiste Héguy
Manu Tuilagi
Gaëtan Germain
Yohan Orabé
Cheikh Tiberghien
Léo Chauvin
Carlu Johan Sadie
Ben Tameifuna
Jonny Gray
Guido Petti
Pete Samu
Lachlan Swinton
Joey Carbery
Nicolas Depoortère
Rohan Janse Van Rensburg
Yoram Moefana
Ben Tapuai
Arthur Retière
Gaetan Barlot
Stefan Buruiana
Aurélien Azar
Will Collier
Loîs Guérois-Galisson
Feibyan Tukino
Santiago Arata
Gauthier Doubrère
Jack Goodhue
Christian Ambadiang
Rémy Baget
Nathanaël Hulleu
Josaia Raisuqe
Osea Waqaninavatu
Folau Fainga'a
Michael Ala'alatoa
Thomas Duchêne
Rob Simmons
Sébastien Bézy
Léon Darricarrère
Irae Simone
François Carlo Mey
Silatolu Latu
Georges Henri Colombe
Louis Penverne
Joel Sclavi
Réda Wardi
Will Skelton
Levani Botia
Judicaël Cancoriet
Oscar Jégou
Teddy Iribaren
Tawera Kerr-Barlow
Sam Matavesi
Feao Fotuaika
Sébastien Taofifenua
Liam Allen
Steeve Blanc-Mappaz
Marvin Okuya
Pierre-Samuel Pacheco
Beka Saghinadze
Théo William
Martin Page-Relo
Paddy Jackson
Martin Méliande
Fletcher Smith
Josiah Maraku
Théo Millet
Semi Radradra
Xavier Mignot
Alexandre Tchapchet Noutcha
Adam Bouare
Mohammed Haouas
Luca Tabarot
Alexandre Bécognée
Sam Simmonds
Billy Vunipola
Ryan Louwrens
Cobus Reinach
Christa Powell
Madosh Tambwe
Remi Seneca
Siate Tokolahi
Jon Zabala
Thomas Jolmès
Thibault Hamonou
Paulo Tauiliili-Pelesasa
Dan Robson
Axel Desperes
Clément Mondinat
Grégoire Arfeuil
Aaron Grandidier
Seilala Lam
Vakhtang Jintcharadze
Bastien Chinarro
Max Hicks
Noé Della-Schiava
So'otala Fa'aso'o
Sadek Deghmache
James Hall
Jake McIntyre
Jean-Pascal Barraque
Alivereti Duguivalu
Ali Crossdale
Jefferson Joseph
Théo Forner
Junior Kpoku
Hacjivah Dayimani
Siya Kolisi
Kléo Labarbe
Dan Lancaster
Tristan Tedder
Gaël Fickou
Sam James
Mamoudou Meïté
Moses Alo-Emile
Paul Alo-Emile
Clément Castets
Isaac Koffi
Pierre-Henri Azagoh
Tanginoa Halaifonua
Juan Johan Van der Mescht
Yoan Tanga
Jules Gimbert
Joe Marchant
Jérémy Ward
Léo Barré
Mickaël Ivaldi
Jean-Baptiste Gros
Samuel Jean-Christophe
Davit Mchedlidze
Dany Priso
Brian Alainu'uese
Matthias Halagahu
Corentin Mézou
David Ribbans
Mattéo Le Corvec
Lewis Ludlam
Joé Quere-Karaba
Ben White
Dan Biggar
Enzo Hervé
Duncan Paia'aua
Rayan Rebbadj
Gaël Dréan
Gabin Villière
Jiuta Wainiqolo
Malachi Hawkes Faimanifo
Nepo Laulala
Joel Merkler
Richie Arnold
Léo Labarthe
Clément Vergé
Mathis Castro-Ferreira
François Cros
Théo Ntamack
Pita Ahki
Célian Pouzelgues
Nelson Epée
Charles-Henry Berguet
Phil Kite
Thomas Moukoro
Mako Vunipola
Mattéo Desjeux
Thimothé Mézou
Christie Van der Merwe
Jean-Maurice Decubber
Joe Edwards
Evredi Iposo
Jean Cotarmanac'h
Théo Costossèque
Martin Alonso
Theo Bastardie
Salesi Rayasi
Iñaki Ayarza
